Case 1: Area 3845883.2343749995, Perimeter 7844.4
Case 884: Area 3801810.3601, Perimeter 7801.21
Case 885: Area 3881782.0694720005, Perimeter 7880.904
Case 886: Area 3614295.857994, Perimeter 7604.59
Case 887: Area 3649211.601, Perimeter 7642.436
Case 888: Area 2102755.60848, Perimeter 5800.748
Case 889: Area 3920722.287588, Perimeter 7920.4619999999995
Case 890: Area 3743289.1830639997, Perimeter 7742.26
Case 891: Area 3752782.7498459998, Perimeter 7748.85
Case 892: Area 3793457.8188599995, Perimeter 7790.992
Case 893: Area 3801802.6652229996, Perimeter 7801.088
Case 894: Area 3508848.949188, Perimeter 7493.128000000001
Case 895: Area 3589554.0368449995, Perimeter 7578.588
Case 896: Area 3857318.318388, Perimeter 7856.072
Case 897: Area 3720861.429657, Perimeter 7716.116
Case 898: Area 3813618.007988, Perimeter 7811.442
Case 899: Area 3956485.6757279993, Perimeter 7956.3679999999995
Case 900: Area 3664047.658458, Perimeter 7657.118
Case 901: Area 3630211.788293999, Perimeter 7622.049999999999
Case 902: Area 1421734.6097509998, Perimeter 4779.84
Case 903: Area 3966821.3787559997, Perimeter 7966.7699999999995
Case 904: Area 3607487.92976, Perimeter 7599.882
Case 905: Area 2532063.37846, Perimeter 6392.242
Case 906: Area 3511435.198999, Perimeter 7499.871999999999
Case 907: Area 3794099.0745, Perimeter 7791.610000000001
Case 908: Area 3707315.64882, Perimeter 7705.415999999999
Case 909: Area 3342889.812538, Perimeter 7316.0419999999995
Case 910: Area 3759040.2713359995, Perimeter 7755.42
Case 911: Area 3692872.4399920003, Perimeter 7686.814
Case 912: Area 3808362.409791, Perimeter 7806.016
Case 913: Area 3703209.858399, Perimeter 7700.72
Case 914: Area 3741686.517408, Perimeter 7737.608
Case 915: Area 3808561.875048, Perimeter 7807.338
Case 916: Area 3820365.097962, Perimeter 7818.526
Case 917: Area 3819790.52742, Perimeter 7818.016
Case 918: Area 2425788.567088, Perimeter 6271.468000000001
Case 919: Area 3670121.2307200003, Perimeter 7665.392
Case 920: Area 3886272.9856860004, Perimeter 7885.49
Case 921: Area 3818719.4580000006, Perimeter 7818.542
Case 922: Area 3583989.4993000003, Perimeter 7572.584000000001
Case 923: Area 3319413.7582679996, Perimeter 7293.338
Case 924: Area 3612241.67395, Perimeter 7602.382
Case 925: Area 3887820.9978520004, Perimeter 7887.086
Case 926: Area 3718331.6205120008, Perimeter 7713.494000000001
Case 927: Area 3926054.9424000005, Perimeter 7925.842000000001
Case 928: Area 3756952.6395280003, Perimeter 7756.108
Case 929: Area 3887073.1977, Perimeter 7886.29
Case 930: Area 3814246.6051740004, Perimeter 7813.43
Case 931: Area 3592652.1841529994, Perimeter 7582.027999999999
Case 932: Area 3850308.8436200004, Perimeter 7850.106
Case 933: Area 3687378.9489780003, Perimeter 7681.418
Case 934: Area 3744520.6035599997, Perimeter 7741.214
Case 935: Area 3813088.7676830003, Perimeter 7810.968000000001
Case 936: Area 3863970.5216460004, Perimeter 7862.894
Case 937: Area 3821369.573125, Perimeter 7819.34
Case 938: Area 3883035.310128, Perimeter 7882.188
Case 939: Area 3749281.4651280004, Perimeter 7745.578
Case 940: Area 2982047.57559, Perimeter 6908.758
Case 941: Area 3727879.824925, Perimeter 7723.58
Case 942: Area 2588936.971076, Perimeter 6447.354
Case 943: Area 3808678.638006, Perimeter 7806.6900000000005
Case 944: Area 3875208.7809690004, Perimeter 7874.22
Case 945: Area 3460530.3748399997, Perimeter 7446.492
Case 946: Area 3720731.522994, Perimeter 7715.798000000001
Case 947: Area 3398166.2774339993, Perimeter 7378.137999999999
Case 948: Area 3651105.80394, Perimeter 7644.662
Case 949: Area 3712207.692069, Perimeter 7709.9
Case 950: Area 3695333.8705009995, Perimeter 7689.42
Case 951: Area 3896363.5424190005, Perimeter 7895.848
Case 952: Area 3761754.4223789996, Perimeter 7758.2
Case 953: Area 3510294.9885579995, Perimeter 7498.557999999999
Case 954: Area 3787807.8940199995, Perimeter 7785.224
Case 955: Area 3698516.68326, Perimeter 7695.5380000000005
Case 956: Area 3492615.8530439995, Perimeter 7479.15
Case 957: Area 2782630.660992, Perimeter 6694.504
Case 958: Area 3670339.7549699997, Perimeter 7663.262
Case 959: Area 3730265.62779, Perimeter 7726.094
Case 960: Area 3863532.6221100003, Perimeter 7862.474
Case 961: Area 3833148.66066, Perimeter 7831.624
Case 962: Area 3786691.7965, Perimeter 7784.162
Case 963: Area 3566314.5258159996, Perimeter 7556.665999999999
Case 964: Area 3768771.447675, Perimeter 7765.688
Case 965: Area 3527186.599482, Perimeter 7513.546
Case 966: Area 3687351.55426, Perimeter 7681.064
Case 967: Area 3803780.384580001, Perimeter 7802.182000000001
Case 968: Area 2572037.505912, Perimeter 6418.324
Case 969: Area 3876730.262016, Perimeter 7876.016
Case 970: Area 3798016.36648, Perimeter 7796.986
Case 971: Area 2695270.259622, Perimeter 6567.154
Case 972: Area 1589165.6081919998, Perimeter 5043.026
Case 973: Area 2145074.1681600004, Perimeter 5917.478000000001
Case 974: Area 3711673.4748, Perimeter 7706.282
Case 975: Area 3292604.65184, Perimeter 7282.284
Case 976: Area 3909521.656872, Perimeter 7909.005999999999
Case 977: Area 3475663.1173380003, Perimeter 7462.262000000001
Case 978: Area 3609878.5193090006, Perimeter 7599.900000000001
Case 979: Area 3798422.8717819997, Perimeter 7796.346
Case 980: Area 3618155.51517, Perimeter 7609.262000000001
Case 981: Area 3385281.9455839996, Perimeter 7382.412
Case 982: Area 3881886.1371689998, Perimeter 7881.02
Case 983: Area 3903502.12464, Perimeter 7903.004
Case 984: Area 3758831.4851999995, Perimeter 7755.842
Case 985: Area 3874001.456132, Perimeter 7873.1939999999995
Case 986: Area 3521998.6011159993, Perimeter 7508.2339999999995
Case 987: Area 2009976.3735840004, Perimeter 5676.212
Case 988: Area 3881193.9976760005, Perimeter 7880.3460000000005
Case 989: Area 3773802.864825, Perimeter 7770.54
Case 990: Area 2938572.1110239998, Perimeter 6890.25
Case 991: Area 3820412.426571, Perimeter 7818.856
Case 992: Area 3875080.8414900005, Perimeter 7874.102000000001
Case 993: Area 3859317.9361920003, Perimeter 7858.144
Case 994: Area 3912408.812952, Perimeter 7911.924
Case 995: Area 3004253.9701680006, Perimeter 6936.182000000001
Case 996: Area 2610125.68432, Perimeter 6462.424
Case 997: Area 3425687.0235640006, Perimeter 7413.52
Case 998: Area 2128858.16198, Perimeter 5959.794
Case 999: Area 1919218.9547269999, Perimeter 5541.504
Case 1000: Area 3687691.3397560003, Perimeter 7683.07
Case 1001: Area 3883393.2140160007, Perimeter 7882.534000000001
Case 1002: Area 2825249.50593, Perimeter 6750.701999999999
Case 1003: Area 3835767.043943, Perimeter 7834.752
Case 1004: Area 423563.2072350001, Perimeter 3130.856
Case 1005: Area 3883273.992972, Perimeter 7882.5740000000005
Case 1006: Area 3583225.250976, Perimeter 7579.496
Case 1007: Area 3067695.508568, Perimeter 7006.188
Case 1008: Area 3726624.595272, Perimeter 7723.214
Case 1009: Area 3560313.591455, Perimeter 7555.536
Case 1010: Area 3815108.9704, Perimeter 7813.562
Case 1011: Area 3792810.1457399996, Perimeter 7790.4619999999995
Case 1012: Area 3464909.271351, Perimeter 7446.096
Case 1013: Area 3821892.700572, Perimeter 7820.224
Case 1014: Area 3539375.0302259997, Perimeter 7533.59
Case 1015: Area 3617416.259184, Perimeter 7609.09
Case 1016: Area 3672913.077579, Perimeter 7666.52
Case 1017: Area 3830692.0644700006, Perimeter 7828.8820000000005
Case 1018: Area 3616054.904869, Perimeter 7607.5
Case 1019: Area 3158798.4690850005, Perimeter 7123.3240000000005
Case 1020: Area 3867277.628422, Perimeter 7866.166
Case 1021: Area 3849877.168247999, Perimeter 7848.661999999999
Case 1022: Area 3796394.009, Perimeter 7795.17
Case 1023: Area 3815866.87971, Perimeter 7813.718
Case 1024: Area 3713822.1408919995, Perimeter 7709.093999999999
Case 1025: Area 3700591.6578679997, Perimeter 7694.778
Case 1026: Area 3788118.799564, Perimeter 7785.818
Case 1027: Area 3824908.211698, Perimeter 7823.162
Case 1028: Area 1709599.623435, Perimeter 5251.096
Case 1029: Area 3843314.897094, Perimeter 7842.098
Case 1030: Area 3180500.287205, Perimeter 7141.428
Case 1031: Area 2778760.175184, Perimeter 6680.112
Case 1032: Area 3838112.0705679995, Perimeter 7836.531999999999
Case 1033: Area 3339961.808172, Perimeter 7310.234
Case 1034: Area 3519646.201832, Perimeter 7508.844
Case 1035: Area 3615329.46838, Perimeter 7605.782
Case 1036: Area 3651540.6552959997, Perimeter 7644.44
Case 1037: Area 3035622.2432359997, Perimeter 6970.776
Case 1038: Area 2730276.225946, Perimeter 6611.494
Case 1039: Area 3853088.748168, Perimeter 7852.118
Case 1040: Area 2936152.5654120003, Perimeter 6854.974
Case 1041: Area 2712342.0908, Perimeter 6587.6759999999995
Case 1042: Area 3902731.73213, Perimeter 7902.522
Case 1043: Area 3893530.910802, Perimeter 7892.974
Case 1044: Area 3741749.939804, Perimeter 7738.157999999999
Case 1045: Area 3781345.365934, Perimeter 7779.562
Case 1046: Area 3860639.713068, Perimeter 7859.728
Case 1047: Area 3629037.4491899996, Perimeter 7620.302
Case 1048: Area 3911201.844768, Perimeter 7910.838
Case 1049: Area 3350429.2839280004, Perimeter 7322.318
Case 1050: Area 3599824.6273159995, Perimeter 7589.879999999999
Case 1051: Area 3852948.9523999994, Perimeter 7851.599999999999
Case 1052: Area 3379710.2923330003, Perimeter 7355.428
Case 1053: Area 2680777.084022, Perimeter 6568.794
Case 1054: Area 1591759.5849000001, Perimeter 5051.446
Case 1055: Area 3160158.630986, Perimeter 7110.75
Case 1056: Area 3328753.018592, Perimeter 7302.696
Case 1057: Area 3354144.157672, Perimeter 7326.124
Case 1058: Area 3927180.215919, Perimeter 7926.848
Case 1059: Area 3524552.63895, Perimeter 7511.174
Case 1060: Area 3816809.4638300003, Perimeter 7815.486000000001
Case 1061: Area 3523826.934576, Perimeter 7517.87
Case 1062: Area 3784009.756332, Perimeter 7781.734
Case 1063: Area 3679941.9908160004, Perimeter 7673.334000000001
Case 1064: Area 3813870.4372529997, Perimeter 7812.468
Case 1065: Area 3887787.5836, Perimeter 7886.99
Case 1066: Area 3890664.457336, Perimeter 7890.34
Case 1067: Area 3555795.8730959995, Perimeter 7547.556
Case 1068: Area 3702436.3970220005, Perimeter 7696.8460000000005
Case 1069: Area 3573653.176152, Perimeter 7561.764
Case 1070: Area 3883708.022292, Perimeter 7882.906
Case 1071: Area 3895594.31424, Perimeter 7894.904
Case 1072: Area 3479734.260954, Perimeter 7461.63
Case 1073: Area 0.0, Perimeter 0.0
Case 1074: Area 47559.871149, Perimeter 1123.3
Case 1075: Area 3546236.689023, Perimeter 7542.272000000001
Case 1076: Area 3783199.09743, Perimeter 7780.9259999999995
Case 1077: Area 3780953.66194, Perimeter 7777.982
Case 1078: Area 2309811.9154040003, Perimeter 6171.93
Case 1079: Area 3939918.793869, Perimeter 7939.748
Case 1080: Area 3795731.8575760005, Perimeter 7793.06
Case 1081: Area 3863326.817058, Perimeter 7862.182
Case 1082: Area 3244947.6806640006, Perimeter 7217.682000000001
Case 1083: Area 3655508.405822, Perimeter 7649.814
Case 1084: Area 551373.791866, Perimeter 3731.866
Case 1085: Area 776290.5737760002, Perimeter 3567.7000000000003
Case 1086: Area 3754787.65892, Perimeter 7751.334
Case 1087: Area 3364554.74842, Perimeter 7340.773999999999
Case 1088: Area 3562297.915611, Perimeter 7555.16
Case 1089: Area 3718961.888334, Perimeter 7715.6900000000005
Case 1090: Area 3909205.396543, Perimeter 7908.688
Case 1091: Area 3685617.717642, Perimeter 7679.646
Case 1092: Area 3828340.243968, Perimeter 7827.808
Case 1093: Area 3764451.106305, Perimeter 7761.028
Case 1094: Area 3956393.26964, Perimeter 7956.276
Case 1095: Area 3653891.1458909996, Perimeter 7646.183999999999
Case 1096: Area 1650547.0786259999, Perimeter 5191.45
Case 1097: Area 3616489.34327, Perimeter 7609.242
Case 1098: Area 3669178.107304, Perimeter 7663.558
Case 1099: Area 3833539.974108, Perimeter 7832.928
Case 1100: Area 3584105.0080000004, Perimeter 7579.820000000001
Case 1101: Area 2197558.372509, Perimeter 6147.139999999999
Case 1102: Area 3807176.80356, Perimeter 7805.004
Case 1103: Area 3574539.1876280005, Perimeter 7564.698
Case 1104: Area 3939192.2112479997, Perimeter 7939.062
Case 1105: Area 2807140.0064250003, Perimeter 6727.732
Case 1106: Area 3704073.6581949997, Perimeter 7698.807999999999
Case 1107: Area 3340923.66286, Perimeter 7311.278
Case 1108: Area 3897647.7530630003, Perimeter 7897.152
Case 1109: Area 3260979.64833, Perimeter 7226.494000000001
Case 1110: Area 3866475.261118, Perimeter 7865.342000000001
Case 1111: Area 2630170.994304, Perimeter 6583.407999999999
Case 1112: Area 3813373.0473439996, Perimeter 7811.147999999999
Case 1113: Area 3395437.5459000003, Perimeter 7380.88
Case 1114: Area 3692102.420182, Perimeter 7687.054
Case 1115: Area 3923152.6897279997, Perimeter 7922.838
Case 1116: Area 3911576.6086799996, Perimeter 7911.124
Case 1117: Area 3864880.6328200004, Perimeter 7863.794
Case 1118: Area 3805672.58572, Perimeter 7803.262
Case 1119: Area 3892480.004952, Perimeter 7891.764
Case 1120: Area 3935277.8134560003, Perimeter 7935.18
Case 1121: Area 3843891.1584900003, Perimeter 7842.338
Case 1122: Area 3896478.9853899996, Perimeter 7895.806
Case 1123: Area 660641.1394320001, Perimeter 3673.626
Case 1124: Area 3822858.000837, Perimeter 7820.916
Case 1125: Area 3736503.5052399994, Perimeter 7732.387999999999
Case 1126: Area 3489616.5347939995, Perimeter 7472.302
Case 1127: Area 3647424.10795, Perimeter 7639.918
Case 1128: Area 3717171.0182539998, Perimeter 7712.657999999999
Case 1129: Area 3811273.8114600005, Perimeter 7809.122
Case 1130: Area 3650555.1679559997, Perimeter 7642.59
Case 1131: Area 3261285.59171, Perimeter 7226.058
Case 1132: Area 867128.6084120001, Perimeter 4118.814
Case 1133: Area 3520353.002252, Perimeter 7519.986
Case 1134: Area 3669791.3423599997, Perimeter 7663.116
Case 1135: Area 3551432.68389, Perimeter 7549.522
Case 1136: Area 3592528.788528, Perimeter 7587.232
Case 1137: Area 3759738.6261779997, Perimeter 7756.602
Case 1138: Area 3321364.9409779995, Perimeter 7290.0779999999995
Case 1139: Area 3899451.3094740002, Perimeter 7898.89
Case 1140: Area 3912210.0713039995, Perimeter 7911.842
Case 1141: Area 3825000.4104839996, Perimeter 7823.049999999999
Case 1142: Area 3816155.1851049997, Perimeter 7814.204
Case 1143: Area 3777660.26918, Perimeter 7774.482
Case 1144: Area 3733681.934668, Perimeter 7731.998
Case 1145: Area 3604877.933958, Perimeter 7596.258
Case 1146: Area 2603495.987699, Perimeter 6488.3279999999995
Case 1147: Area 3418216.424001, Perimeter 7396.996
Case 1148: Area 3815150.186971, Perimeter 7813.544
Case 1149: Area 3466617.1674750005, Perimeter 7447.64
Case 1150: Area 3791523.8423550003, Perimeter 7789.688
Case 1151: Area 3535121.4223740003, Perimeter 7521.122
Case 1152: Area 3071365.8487560004, Perimeter 7020.886
Case 1153: Area 3840400.959396, Perimeter 7839.08
Case 1154: Area 1507822.718317, Perimeter 4912.036
Case 1155: Area 3734018.909928, Perimeter 7729.942
Case 1156: Area 3771440.01696, Perimeter 7768.136
Case 1157: Area 3744759.12016, Perimeter 7740.692
Case 1158: Area 3628936.5974430004, Perimeter 7620.488
Case 1159: Area 3780523.792482, Perimeter 7778.505999999999
Case 1160: Area 3711149.898246, Perimeter 7706.094
Case 1161: Area 3812822.088288, Perimeter 7812.008
Case 1162: Area 3542779.4196630004, Perimeter 7529.408
Case 1163: Area 2575801.520544, Perimeter 6469.87
Case 1164: Area 3748964.7523200004, Perimeter 7745.336
Case 1165: Area 3710758.5220350004, Perimeter 7705.336
Case 1166: Area 2657662.16764, Perimeter 6520.994000000001
Case 1167: Area 3822417.899096, Perimeter 7821.09
Case 1168: Area 3799610.960292, Perimeter 7799.094
Case 1169: Area 3681713.298356, Perimeter 7675.464
Case 1170: Area 2374365.699826, Perimeter 6178.79
Case 1171: Area 2786697.062772, Perimeter 6752.786
Case 1172: Area 3690617.29144, Perimeter 7684.396
Case 1173: Area 3601821.3081600005, Perimeter 7596.736000000001
Case 1174: Area 3893546.3386399997, Perimeter 7892.874
Case 1175: Area 3740752.2278720005, Perimeter 7736.5560000000005
Case 1176: Area 3103004.7881199997, Perimeter 7077.298
Case 1177: Area 3757704.5514450003, Perimeter 7756.588
Case 1178: Area 3952942.292064, Perimeter 7952.817999999999
Case 1179: Area 3781369.9932709998, Perimeter 7780.08
Case 1180: Area 3659120.732799, Perimeter 7657.04
Case 1181: Area 3891080.37909, Perimeter 7890.826
Case 1182: Area 3321758.8676, Perimeter 7290.54
Case 1183: Area 3205146.806136, Perimeter 7173.773999999999
Case 1184: Area 3699381.98946, Perimeter 7696.654
Case 1185: Area 3963433.524219, Perimeter 7963.352
Case 1186: Area 3724332.6865999997, Perimeter 7721.585999999999
Case 1187: Area 2541451.069766, Perimeter 6391.17
Case 1188: Area 3383542.581146, Perimeter 7358.406
Case 1189: Area 3905036.690781, Perimeter 7904.636
Case 1190: Area 3522987.9928109995, Perimeter 7507.976
Case 1191: Area 3173281.007435, Perimeter 7131.6720000000005
Case 1192: Area 3698308.793547, Perimeter 7696.984
Case 1193: Area 3872431.6937459996, Perimeter 7871.469999999999
Case 1194: Area 3779048.219259, Perimeter 7776.088
Case 1195: Area 3902824.649276, Perimeter 7902.353999999999
Case 1196: Area 3875457.5917200004, Perimeter 7874.5560000000005
Case 1197: Area 3658249.690862, Perimeter 7650.654
Case 1198: Area 3900107.2387200003, Perimeter 7900.004000000001
Case 1199: Area 3594223.49005, Perimeter 7586.23
Case 1200: Area 3829149.8981879996, Perimeter 7827.998
Case 1201: Area 3297965.3948580003, Perimeter 7268.798000000001
Case 1202: Area 3876962.0392360003, Perimeter 7876.040000000001
Case 1203: Area 3831043.372884, Perimeter 7829.338
Case 1204: Area 3645064.682, Perimeter 7637.232
Case 1205: Area 3822522.65351, Perimeter 7821.378000000001
Case 1206: Area 2908931.01456, Perimeter 6835.048000000001
Case 1207: Area 3237198.7466169996, Perimeter 7203.316
Case 1208: Area 224251.54415499998, Perimeter 2441.368
Case 1209: Area 3483391.583862, Perimeter 7466.114
Case 1210: Area 3789957.19095, Perimeter 7788.39
Case 1211: Area 3433663.825248, Perimeter 7419.688
Case 1212: Area 3830408.5421349998, Perimeter 7829.103999999999
Case 1213: Area 3883312.10336, Perimeter 7882.662
Case 1214: Area 3472340.1392719997, Perimeter 7465.644
Case 1215: Area 3764357.2211949998, Perimeter 7761.064
Case 1216: Area 3851600.5508910003, Perimeter 7850.200000000001
Case 1217: Area 3824427.3826599997, Perimeter 7822.472
Case 1218: Area 2845623.509316, Perimeter 6748.950000000001
Case 1219: Area 3848255.3442960004, Perimeter 7847.06
Case 1220: Area 3724175.0091680004, Perimeter 7719.642
Case 1221: Area 3890732.6559359995, Perimeter 7889.98
Case 1222: Area 3889738.92522, Perimeter 7889.114
Case 1223: Area 3239422.6606, Perimeter 7207.85
Case 1224: Area 3643147.8620080003, Perimeter 7636.318
Case 1225: Area 3817664.053557, Perimeter 7816.364
Case 1226: Area 3317079.948798, Perimeter 7289.918
Case 1227: Area 3826561.9556360003, Perimeter 7825.224
Case 1228: Area 3846519.36108, Perimeter 7845.554
Case 1229: Area 2519380.5276899994, Perimeter 6412.6179999999995
Case 1230: Area 2144172.8536680005, Perimeter 5881.768
Case 1231: Area 3460299.0183160007, Perimeter 7440.784000000001
Case 1232: Area 3740626.610952, Perimeter 7736.564
Case 1233: Area 2838953.112138, Perimeter 6747.5380000000005
Case 1234: Area 3644212.2921, Perimeter 7641.822
Case 1235: Area 3646779.8183000004, Perimeter 7638.624
Case 1236: Area 3513350.966385, Perimeter 7498.748
Case 1237: Area 3566325.7109560003, Perimeter 7556.336
Case 1238: Area 3497737.252672, Perimeter 7483.936
Case 1239: Area 3873359.3698799997, Perimeter 7873.013999999999
Case 1240: Area 3599376.2174640005, Perimeter 7591.868
Case 1241: Area 3831010.761312, Perimeter 7829.356
Case 1242: Area 3732886.314456, Perimeter 7729.414
Case 1243: Area 3808429.5021989997, Perimeter 7806.08
Case 1244: Area 3476485.654782, Perimeter 7462.726000000001
Case 1245: Area 3582324.0388040002, Perimeter 7571.9580000000005
Case 1246: Area 3854018.8999840003, Perimeter 7852.688
Case 1247: Area 1029748.1108580001, Perimeter 4062.6180000000004
Case 1248: Area 3944757.524414, Perimeter 7944.582
Case 1249: Area 3688921.6233149995, Perimeter 7687.976
Case 1250: Area 3858044.6945100003, Perimeter 7856.782
Case 1251: Area 3911120.6834179997, Perimeter 7910.718
Case 1252: Area 3467244.673332, Perimeter 7448.504000000001
Case 1253: Area 3932536.9362560003, Perimeter 7932.3
Case 1254: Area 3212212.278985, Perimeter 7171.436
Case 1255: Area 3904969.08879, Perimeter 7904.442
Case 1256: Area 3723283.4082, Perimeter 7718.451999999999
Case 1257: Area 3906232.6764959996, Perimeter 7905.744
Case 1258: Area 3828649.602916, Perimeter 7827.71
Case 1259: Area 3836854.8526910003, Perimeter 7835.16
Case 1260: Area 3939951.000503, Perimeter 7939.728
Case 1261: Area 3639016.803396, Perimeter 7633.544
Case 1262: Area 3657814.66869, Perimeter 7650.178
Case 1263: Area 3885130.6891139997, Perimeter 7884.59
Case 1264: Area 3360299.575752, Perimeter 7337.516
Case 1265: Area 579421.5026799999, Perimeter 3273.4339999999997
Case 1266: Area 3875761.237772, Perimeter 7875.023999999999
Case 1267: Area 3880774.984497, Perimeter 7880.164000000001
Case 1268: Area 3850698.4293, Perimeter 7850.03
Case 1269: Area 3196162.385526, Perimeter 7158.59
Case 1270: Area 3800340.379044, Perimeter 7797.99
Case 1271: Area 3934665.200736, Perimeter 7934.424
Case 1272: Area 3856849.8382039997, Perimeter 7855.68
Case 1273: Area 3686371.03365, Perimeter 7680.97
Case 1274: Area 3562970.515412, Perimeter 7551.114
Case 1275: Area 3879852.268698, Perimeter 7879.762
Case 1276: Area 3779150.731096, Perimeter 7776.044
Case 1277: Area 3374340.2098120004, Perimeter 7349.144
Case 1278: Area 3629366.40065, Perimeter 7621.4220000000005
Case 1279: Area 192874.659618, Perimeter 1812.478
Case 1280: Area 3863752.5667859996, Perimeter 7862.574
Case 1281: Area 3806169.76332, Perimeter 7803.812
Case 1282: Area 3742837.5030519995, Perimeter 7739.343999999999
Case 1283: Area 3719317.89354, Perimeter 7714.216
Case 1284: Area 3608619.4742819997, Perimeter 7600.606
Case 1285: Area 3354346.899137, Perimeter 7327.236
Case 1286: Area 3566691.185658, Perimeter 7555.478
Case 1287: Area 3079190.9097949998, Perimeter 7029.672
Case 1288: Area 3898072.1080999994, Perimeter 7897.422
Case 1289: Area 3720150.542952, Perimeter 7715.124
Case 1290: Area 3888034.4798510005, Perimeter 7887.240000000001
Case 1291: Area 3798277.346059, Perimeter 7797.112
Case 1292: Area 3885427.801881, Perimeter 7884.78
Case 1293: Area 1527193.4817370004, Perimeter 4943.476000000001
Case 1294: Area 3802853.421416, Perimeter 7800.516
Case 1295: Area 3744360.2874149997, Perimeter 7743.088
Case 1296: Area 3840258.4627590002, Perimeter 7838.88
Case 1297: Area 3846346.5188249997, Perimeter 7845.459999999999
Case 1298: Area 3794036.686872, Perimeter 7791.505999999999
Case 1299: Area 3779983.176214, Perimeter 7777.790000000001
Case 1300: Area 3333334.7657339997, Perimeter 7319.062
Case 1301: Area 3758426.0230439994, Perimeter 7754.7699999999995
Case 1302: Area 3747685.62661, Perimeter 7743.598
Case 1303: Area 3857695.66385, Perimeter 7856.442
Case 1304: Area 484453.3619399999, Perimeter 2850.098
Case 1305: Area 3817808.975294, Perimeter 7815.798
Case 1306: Area 884575.765101, Perimeter 3780.004
Case 1307: Area 3864298.9992799996, Perimeter 7863.744
Case 1308: Area 3605149.2476999997, Perimeter 7599.832
Case 1309: Area 3386588.041326, Perimeter 7368.71
Case 1310: Area 3866477.077407, Perimeter 7865.344
Case 1311: Area 3721196.836296, Perimeter 7716.5560000000005
Case 1312: Area 0.0, Perimeter 0.0
Case 1313: Area 3834622.6154989996, Perimeter 7833.48
Case 1314: Area 2276946.856408, Perimeter 6097.798
Case 1315: Area 3931073.182966, Perimeter 7930.933999999999
Case 1316: Area 3567154.9656959996, Perimeter 7555.144
Case 1317: Area 3732678.269866, Perimeter 7729.366
Case 1318: Area 3758199.363975, Perimeter 7754.608
Case 1319: Area 3799339.473768, Perimeter 7797.772
Case 1320: Area 839438.27112, Perimeter 3839.2660000000005
Case 1321: Area 3852478.879281, Perimeter 7851.139999999999
Case 1322: Area 3889660.602081, Perimeter 7888.964
Case 1323: Area 3640452.047145, Perimeter 7632.972
Case 1324: Area 3228268.7515530004, Perimeter 7187.068
Case 1325: Area 3854401.139646, Perimeter 7853.906000000001
Case 1326: Area 3871710.160092, Perimeter 7870.686
Case 1327: Area 3902903.1007499998, Perimeter 7902.314
Case 1328: Area 3732292.559006, Perimeter 7729.614
Case 1329: Area 3787077.649344, Perimeter 7785.352
Case 1330: Area 2192349.6082089995, Perimeter 6006.459999999999
Case 1331: Area 2033510.6551400002, Perimeter 5742.744000000001
Case 1332: Area 3826383.3012240003, Perimeter 7825.228
Case 1333: Area 3745231.640265, Perimeter 7741.964
Case 1334: Area 3873201.622338, Perimeter 7872.182000000001
Case 1335: Area 3640712.0160319996, Perimeter 7634.124
Case 1336: Area 3864249.2699880004, Perimeter 7863.302000000001
Case 1337: Area 2969956.462296, Perimeter 6907.780000000001
Case 1338: Area 3482593.048, Perimeter 7464.856
Case 1339: Area 3649764.3227150002, Perimeter 7641.864
Case 1340: Area 3655476.7850699998, Perimeter 7650.046
Case 1341: Area 3764849.822734, Perimeter 7761.77
Case 1342: Area 2650877.4270030004, Perimeter 6549.272000000001
Case 1343: Area 3733750.9264499997, Perimeter 7731.317999999999
Case 1344: Area 3751476.746444, Perimeter 7747.92
Case 1345: Area 3785827.368925, Perimeter 7782.98
Case 1346: Area 3727420.9053200004, Perimeter 7723.854
Case 1347: Area 3696658.4679839998, Perimeter 7692.412
Case 1348: Area 3752228.8671000004, Perimeter 7748.534000000001
Case 1349: Area 3677668.8858210007, Perimeter 7672.900000000001
Case 1350: Area 3962664.127074, Perimeter 7962.5779999999995
Case 1351: Area 3248207.069776, Perimeter 7222.646000000001
Case 1352: Area 3680436.379251, Perimeter 7674.2
Case 1353: Area 3429235.793721, Perimeter 7420.3
Case 1354: Area 3473455.7322239997, Perimeter 7466.678
Case 1355: Area 3374277.4171399996, Perimeter 7361.208
Case 1356: Area 3956271.779803, Perimeter 7956.152
Case 1357: Area 2075862.2671570003, Perimeter 5771.116
Case 1358: Area 3647420.254283, Perimeter 7645.752
Case 1359: Area 3634819.731555, Perimeter 7626.8240000000005
Case 1360: Area 2760855.939603, Perimeter 6672.008
Case 1361: Area 3143035.942214, Perimeter 7093.518
Case 1362: Area 3636991.894932, Perimeter 7628.646
Case 1363: Area 3877499.32951, Perimeter 7876.646000000001
Case 1364: Area 3351318.47113, Perimeter 7324.874
Case 1365: Area 3626254.4928999995, Perimeter 7617.994
Case 1366: Area 3880779.1156200003, Perimeter 7879.966
Case 1367: Area 3716172.4442879995, Perimeter 7711.191999999999
Case 1368: Area 3352871.231725, Perimeter 7330.852
Case 1369: Area 1413354.6387089998, Perimeter 4867.412
Case 1370: Area 3262861.745556, Perimeter 7235.414000000001
Case 1371: Area 3713320.5582, Perimeter 7708.468
Case 1372: Area 2557031.350016, Perimeter 6406.98
Case 1373: Area 3814436.183725, Perimeter 7812.508
Case 1374: Area 3839067.010944, Perimeter 7837.85
